A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_NET_SHORT!PIN_NO_SWAP_PIN!PIN_NO_PIN_ESCAPE!PIN_CDS_PINID!PIN_XNET_PINS!PIN_PIN_ESCAPE!PIN_PIN_SIGNAL_MODEL!PIN_NO_DRC!PIN_NO_SHAPE_CONNECT!
J!F:/ST-LINK-V2/Hardware/allegro/st-link-v2_pro.brd!Sun Nov 26 21:39:39 2023!-3937.00!-3937.00!3937.00!3937.00!0.01!mils!ST-LINK-V2_PRO!60.433071 mil!2!UP TO DATE!
S!E5V!D2!A!@\st-link-v2_pro\.\st-link\(sch_1):ins3289@private.\diode_1n4007ws_50v_1a_sod-323.normal\(chips)!DIODE_1N4007WS_50V_1A_SOD-323_SOD265X130X110L32X32N_1N4007WS!!!F61!!!!!!!!!!
S!N02559!D2!C!@\st-link-v2_pro\.\st-link\(sch_1):ins3289@private.\diode_1n4007ws_50v_1a_sod-323.normal\(chips)!DIODE_1N4007WS_50V_1A_SOD-323_SOD265X130X110L32X32N_1N4007WS!!!F61!!!!!!!!!!
S!GND!D3!A!@\st-link-v2_pro\.\st-link\(sch_1):ins62735@private.\tvs_s_smf5.0a_5v_sod-123fl.normal\(chips)!TVS_S_SMF5.0A_5V_SOD-123FL_SODFL370X180X135L60_50X100N_SMF5.0A!!!F60!!!!!!!!!!
S!U5V!D3!C!@\st-link-v2_pro\.\st-link\(sch_1):ins62735@private.\tvs_s_smf5.0a_5v_sod-123fl.normal\(chips)!TVS_S_SMF5.0A_5V_SOD-123FL_SODFL370X180X135L60_50X100N_SMF5.0A!!!F60!!!!!!!!!!
S!GND!D4!1!@\st-link-v2_pro\.\st-link\(sch_1):ins62751@private.\esd_b_klxes15aaa1_5v_0402.normal\(chips)!ESD_B_KLXES15AAA1_5V_0402_DIONDFN2_100X50X40L32X37N_KLXES15AAA1!!!F59!!!!!!!!!!
S!USB_N!D4!2!@\st-link-v2_pro\.\st-link\(sch_1):ins62751@private.\esd_b_klxes15aaa1_5v_0402.normal\(chips)!ESD_B_KLXES15AAA1_5V_0402_DIONDFN2_100X50X40L32X37N_KLXES15AAA1!!!F59!!!!!!!!!!
S!GND!D5!1!@\st-link-v2_pro\.\st-link\(sch_1):ins62767@private.\esd_b_klxes15aaa1_5v_0402.normal\(chips)!ESD_B_KLXES15AAA1_5V_0402_DIONDFN2_100X50X40L32X37N_KLXES15AAA1!!!F58!!!!!!!!!!
S!USB_P!D5!2!@\st-link-v2_pro\.\st-link\(sch_1):ins62767@private.\esd_b_klxes15aaa1_5v_0402.normal\(chips)!ESD_B_KLXES15AAA1_5V_0402_DIONDFN2_100X50X40L32X37N_KLXES15AAA1!!!F58!!!!!!!!!!
S!N18913!D6!A!@\st-link-v2_pro\.\st-link\(sch_1):ins18492@private.\led_red_0603.normal\(chips)!LED_RED_0603_LEDC160X80X70L30N_RED_LED!!!F57!!!!!!!!!!
S!GND!D6!C!@\st-link-v2_pro\.\st-link\(sch_1):ins18492@private.\led_red_0603.normal\(chips)!LED_RED_0603_LEDC160X80X70L30N_RED_LED!!!F57!!!!!!!!!!
